trial_index,task,stimulus,value,time_elapsed
1,Participant ID,,007,27
2,Consent,,Complete,56
3,Trial 1,red_red_Congruent,32,80
4,Trial 2,red_blue_Incongruent,76,105
5,Trial 3,red_red_Congruent,43,116
6,Trial 4,red_blue_Incongruent,85,130
7,Trial 5,red_blue_Incongruent,49,166
8,Trial 6,blue_blue_Congruent,2,171
9,Trial 7,blue_blue_Congruent,55,201
10,Trial 8,blue_blue_Congruent,34,241
11,Trial 9,blue_red_Incongruent,35,246
12,Trial 10,red_blue_Incongruent,71,288
13,Trial 11,blue_red_Incongruent,60,294
14,Trial 12,red_red_Congruent,49,341
15,Trial 13,blue_blue_Congruent,20,360
16,Trial 14,blue_blue_Congruent,8,365
17,Trial 15,red_blue_Incongruent,72,381
18,Trial 16,blue_blue_Congruent,35,387
19,Trial 17,blue_blue_Congruent,56,436
20,Trial 18,blue_blue_Congruent,53,449
21,Trial 19,red_red_Congruent,58,465
22,Trial 20,blue_red_Incongruent,35,514
23,Debrief,,Complete,549
24,Complete,,Done,562
