trial_index,task,stimulus,value,time_elapsed
1,Participant ID,,005,18
2,Consent,,Complete,43
3,Trial 1,red_red_Congruent,41,78
4,Trial 2,blue_blue_Congruent,19,114
5,Trial 3,red_red_Congruent,42,129
6,Trial 4,red_red_Congruent,54,171
7,Trial 5,red_blue_Incongruent,31,213
8,Trial 6,blue_blue_Congruent,59,236
9,Trial 7,red_blue_Incongruent,87,263
10,Trial 8,red_blue_Incongruent,42,273
11,Trial 9,red_blue_Incongruent,54,306
12,Trial 10,blue_red_Incongruent,88,318
13,Trial 11,blue_blue_Congruent,41,325
14,Trial 12,blue_red_Incongruent,81,339
15,Trial 13,red_blue_Incongruent,63,347
16,Trial 14,blue_red_Incongruent,76,385
17,Trial 15,blue_red_Incongruent,88,406
18,Trial 16,red_blue_Incongruent,36,432
19,Trial 17,red_red_Congruent,34,463
20,Trial 18,red_red_Congruent,3,494
21,Trial 19,red_blue_Incongruent,53,514
22,Trial 20,blue_blue_Congruent,45,543
23,Debrief,,Complete,572
24,Complete,,Done,614
